Metric,Value
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.345728
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,11.104959
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,45
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,45
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,2
design__max_cap_violation__count__corner:max_ff_n40C_5v50,0
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.2745599103561496
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.2733926218350455
timing__hold__ws__corner:max_ff_n40C_5v50,0.11294998589461608
timing__setup__ws__corner:max_ff_n40C_5v50,9.743888638410231
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.112950
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,14.318727
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,45
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,45
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_4v50,4.49824
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_4v50,4.49922
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_4v50,0.0017572
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_4v50,0.00163696
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_4v50,0.000767659
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_4v50,0.00163696
design_powergrid__voltage__worst,0.00163696
design_powergrid__voltage__worst__net:VDD,4.49824
design_powergrid__drop__worst,0.0017572
design_powergrid__drop__worst__net:VDD,0.0017572
design_powergrid__voltage__worst__net:VSS,0.00163696
design_powergrid__drop__worst__net:VSS,0.00163696
ir__voltage__worst,4.5
ir__drop__avg,0.000782999999999999950379969693159409871441312134265899658203125
ir__drop__worst,0.00176000000000000006265821195228227225015871226787567138671875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
