net,length_um
s_data_rx_dc\[6\],68.98µm
clknet_5_8__leaf_sys_clk_i,68.98µm
clknet_5_20__leaf_sys_clk_i,68.98µm
clknet_5_14__leaf_periph_clk_i,68.93µm
u_uart_rx.CS\[0\],68.9µm
cfg_rx_bytes_left_i[2],68.895µm
net43,68.88µm
net498,68.74µm
net38,68.62µm
u_dc_fifo_rx.u_dout.read_token\[2\],68.52µm
net74,68.37µm
cfg_rx_en_o,68.23µm
_0429_,67.91µm
_0676_,67.81µm
u_fifo.i_fifo.pointer_out\[0\],67.81µm
net287,67.81µm
cfg_data_i[25],67.775µm
_0387_,67.25µm
cfg_tx_startaddr_o[8],67.06µm
net427,66.74µm
cfg_rx_en_i,66.705µm
i_ep_err_overflow.i_sync_clkb.i_pulp_sync.serial_i,66.64µm
u_dc_fifo_tx.u_dout.read_token\[2\],66.23µm
_0778_,66.18µm
_0377_,66.13µm
cfg_tx_curr_addr_i[2],66.095µm
cfg_tx_startaddr_o[3],65.94µm
net459,65.67µm
_0805_,65.57µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[0\],65.57µm
_0384_,65.52µm
cfg_tx_size_o[12],65.38µm
cfg_rx_startaddr_o[3],65.38µm
cfg_rx_startaddr_o[2],65.38µm
cfg_rx_size_o[13],65.38µm
_0629_,65.01µm
cfg_tx_bytes_left_i[5],64.975µm
net211,64.45µm
net233,64.45µm
clknet_5_1__leaf_sys_clk_i,64.45µm
cfg_rx_curr_addr_i[2],64.415µm
u_uart_tx.baud_cnt\[2\],63.94µm
cfg_tx_bytes_left_i[1],63.905µm
net156,63.89µm
cfg_data_o[6],63.855µm
net79,63.84µm
cfg_rx_size_o[4],63.7µm
net447,63.48µm
clknet_5_17__leaf_sys_clk_i,63.48µm
u_uart_tx.baud_cnt\[12\],63.43µm
_0784_,63.33µm
net307,63.33µm
clknet_5_3__leaf_periph_clk_i,63.33µm
cfg_data_i[18],63.295µm
cfg_data_i[22],63.295µm
cfg_tx_size_o[15],63.14µm
net189,62.82µm
net431,62.82µm
net539,62.82µm
cfg_tx_bytes_left_i[0],62.785µm
net380,62.77µm
_0601_,62.72µm
_0800_,62.72µm
cfg_rwn_i,62.58µm
u_dc_fifo_rx.u_dout.read_token\[0\],62.36µm
s_uart_div\[10\],62.26µm
cfg_tx_curr_addr_i[6],62.225µm
_0495_,62.21µm
cfg_data_i[2],62.02µm
cfg_rx_bytes_left_i[8],62.02µm
_0449_,61.7µm
cfg_data_i[26],61.665µm
cfg_data_i[28],61.665µm
net73,61.65µm
net107,61.65µm
cfg_data_i[16],61.615µm
cfg_data_i[20],61.615µm
cfg_data_i[29],61.615µm
clknet_5_20__leaf_periph_clk_i,61.6µm
clknet_5_27__leaf_periph_clk_i,61.19µm
cfg_rx_bytes_left_i[3],61.105µm
cfg_rx_curr_addr_i[6],61.055µm
net292,61.04µm
cfg_data_i[7],60.9µm
_0517_,60.58µm
_0804_,60.58µm
u_uart_rx.baud_cnt\[14\],60.58µm
_0694_,60.53µm
_0714_,60.53µm
_0478_,60.48µm
cfg_tx_startaddr_o[4],60.34µm
net158,60.02µm
cfg_tx_bytes_left_i[2],59.985µm
u_dc_fifo_rx.dst_rstn_i,59.97µm
_0758_,59.92µm
clknet_4_1_0_sys_clk_i,59.92µm
net465,59.46µm
_0294_,59.41µm
net193,59.41µm
clknet_5_15__leaf_periph_clk_i,59.41µm
cfg_tx_bytes_left_i[6],59.375µm
_0392_,59.36µm
cfg_data_i[1],59.22µm
u_dc_fifo_rx.u_dout.read_token\[1\],59.1µm
_0691_,58.9µm
_0355_,58.85µm
net304,58.8µm
uart_rx_i,58.255µm
net408,58.24µm
cfg_data_i[5],58.1µm
u_dc_fifo_tx.u_dout.read_token\[3\],57.93µm
net345,57.83µm
net480,57.73µm
clknet_5_4__leaf_periph_clk_i,57.73µm
cfg_valid_i,57.54µm
net61,57.22µm
cfg_data_i[21],57.135µm
_0358_,57.12µm
_0796_,57.12µm
net420,57.12µm
cfg_tx_curr_addr_i[7],56.98µm
_0343_,56.76µm
_0822_,56.71µm
cfg_data_i[17],56.575µm
cfg_tx_curr_addr_i[0],56.575µm
net288,56.56µm
_0350_,56.2µm
cfg_data_i[24],56.065µm
_0448_,56.05µm
net198,56.05µm
_0650_,56µm
net176,56µm
u_reg_if.r_uart_rx_data\[5\],55.54µm
u_reg_if.r_uart_rx_data_valid,55.49µm
_0361_,55.44µm
net124,55.44µm
_0674_,55.13µm
_0386_,54.93µm
_0680_,54.93µm
cfg_data_i[8],54.74µm
net54,54.32µm
_0576_,53.96µm
net7,53.86µm
net91,53.86µm
_0723_,53.76µm
net310,53.76µm
cfg_addr_i[1],53.62µm
_0334_,53.3µm
_0710_,53.3µm
_0823_,53.2µm
net152,53.2µm
net75,53.2µm
_0493_,52.74µm
cfg_data_o[25],52.705µm
net367,52.69µm
cfg_data_o[27],52.655µm
cfg_data_o[17],52.655µm
cfg_data_o[16],52.655µm
_0677_,52.64µm
u_fifo.i_fifo.elements\[1\],52.28µm
u_dc_fifo_rx.u_dout.read_token\[3\],52.23µm
clknet_5_31__leaf_periph_clk_i,52.18µm
cfg_tx_curr_addr_i[3],52.145µm
net416,52.13µm
net44,52.08µm
net398,52.08µm
net248,51.72µm
net439,51.62µm
_0396_,51.57µm
cfg_data_o[26],51.535µm
net407,51.52µm
