net,length_um
cfg_tx_bytes_left_i[4],31.04µm
cfg_tx_curr_addr_i[3],31.04µm
_0898_,30.85µm
net20,30.85µm
net168,30.85µm
net217,30.85µm
clknet_4_12_0_sys_clk_i,30.85µm
clknet_4_5_0_periph_clk_i,30.85µm
u_reg_if.r_err_overflow,30.8µm
cfg_rx_en_o,30.71µm
cfg_rx_en_i,30.66µm
cfg_data_i[22],30.48µm
cfg_rx_bytes_left_i[13],30.48µm
cfg_tx_curr_addr_i[1],30.48µm
_0392_,30.34µm
_0425_,30.34µm
_0761_,30.34µm
net203,30.34µm
clknet_4_3_0_periph_clk_i,30.34µm
_0395_,30.29µm
u_uart_tx.baud_cnt\[7\],30.29µm
net455,30.29µm
clknet_4_7_0_sys_clk_i,30.29µm
cfg_data_i[20],29.97µm
cfg_rx_bytes_left_i[10],29.92µm
cfg_rx_bytes_left_i[6],29.92µm
cfg_rx_curr_addr_i[2],29.92µm
cfg_tx_bytes_left_i[5],29.92µm
cfg_tx_bytes_left_i[7],29.92µm
_0401_,29.78µm
_0004_,29.73µm
_0749_,29.73µm
_0813_,29.73µm
u_uart_tx.reg_bit_count\[1\],29.73µm
_0442_,29.68µm
_0478_,29.68µm
cfg_data_o[16],29.56µm
cfg_data_i[0],29.54µm
_0721_,29.27µm
_0521_,29.22µm
u_dc_fifo_rx.u_din.buffer.data\[5\],29.22µm
net19,29.12µm
u_dc_fifo_tx.u_din.buffer.data\[0\],29.12µm
net227,29.12µm
cfg_data_i[27],28.8µm
cfg_data_i[29],28.8µm
cfg_data_i[31],28.8µm
cfg_rx_bytes_left_i[1],28.8µm
cfg_rx_bytes_left_i[8],28.8µm
cfg_tx_curr_addr_i[5],28.8µm
cfg_tx_curr_addr_i[6],28.8µm
cfg_tx_curr_addr_i[8],28.8µm
u_reg_if.r_uart_rx_data\[2\],28.71µm
_0718_,28.61µm
_0879_,28.61µm
net145,28.61µm
net151,28.61µm
net106,28.61µm
_0574_,28.56µm
_0699_,28.56µm
_0746_,28.56µm
net114,28.56µm
net118,28.56µm
net215,28.56µm
